mission_id,plot_id,config_id,postprocessing_id,detector,run_date,min_height_filter,chip_size,chip_stride,resolution,F1,precision,recall,n_core_field,n_core_drone,n_field_matched,n_drone_matched,raster_blur_sigma
174,51,11_geometric_sigma_700,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0135135135135135,1.0,0.0068027210884353,147,1,1,1,
190,90,01_geometric_sigma_none,,geometric,2026-07-20,10.0,2000,1750,0.12,0.7918530727572404,0.9833333333333332,0.6627906976744186,86,60,57,59,
190,90,02_geometric_sigma_030,,geometric,2026-07-20,10.0,2000,1750,0.12,0.7484008528784648,0.9818181818181818,0.6046511627906976,86,55,52,54,
190,90,03_geometric_sigma_050,,geometric,2026-07-20,10.0,2000,1750,0.12,0.7300314915545376,0.9807692307692308,0.5813953488372093,86,52,50,51,
190,90,04_geometric_sigma_100,,geometric,2026-07-20,10.0,2000,1750,0.12,0.5666666666666667,1.0,0.3953488372093023,86,34,34,34,
190,90,05_geometric_sigma_150,,geometric,2026-07-20,10.0,2000,1750,0.12,0.4074074074074074,1.0,0.2558139534883721,86,22,22,22,
190,90,06_geometric_sigma_200,,geometric,2026-07-20,10.0,2000,1750,0.12,0.297029702970297,1.0,0.1744186046511628,86,15,15,15,
190,90,07_geometric_sigma_300,,geometric,2026-07-20,10.0,2000,1750,0.12,0.1505376344086021,1.0,0.0813953488372093,86,7,7,7,
190,90,08_geometric_sigma_400,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0224719101123595,0.3333333333333333,0.0116279069767441,86,3,1,1,
190,90,09_geometric_sigma_500,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0674157303370786,1.0,0.0348837209302325,86,3,3,3,
190,90,10_geometric_sigma_600,,geometric,2026-07-20,10.0,2000,1750,0.12,0.1098901098901098,1.0,0.0581395348837209,86,4,5,4,
190,90,11_geometric_sigma_700,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0224719101123595,0.3333333333333333,0.0116279069767441,86,3,1,1,
246,18,01_geometric_sigma_none,,geometric,2026-07-20,10.0,2000,1750,0.12,0.3783783783783784,0.3043478260869565,0.5,12,23,6,7,
246,18,02_geometric_sigma_030,,geometric,2026-07-20,10.0,2000,1750,0.12,0.56,0.6363636363636364,0.5,12,11,6,7,
246,18,03_geometric_sigma_050,,geometric,2026-07-20,10.0,2000,1750,0.12,0.5833333333333334,0.7,0.5,12,10,6,7,
246,18,04_geometric_sigma_100,,geometric,2026-07-20,10.0,2000,1750,0.12,0.5426356589147286,0.7777777777777778,0.4166666666666667,12,9,5,7,
246,18,05_geometric_sigma_150,,geometric,2026-07-20,10.0,2000,1750,0.12,0.4761904761904761,0.8333333333333334,0.3333333333333333,12,6,4,5,
246,18,06_geometric_sigma_200,,geometric,2026-07-20,10.0,2000,1750,0.12,0.3636363636363636,0.6666666666666666,0.25,12,6,3,4,
246,18,07_geometric_sigma_300,,geometric,2026-07-20,10.0,2000,1750,0.12,0.3809523809523809,0.8,0.25,12,5,3,4,
246,18,08_geometric_sigma_400,,geometric,2026-07-20,10.0,2000,1750,0.12,0.25,0.5,0.1666666666666666,12,4,2,2,
246,18,09_geometric_sigma_500,,geometric,2026-07-20,10.0,2000,1750,0.12,0.2666666666666666,0.6666666666666666,0.1666666666666666,12,3,2,2,
246,18,10_geometric_sigma_600,,geometric,2026-07-20,10.0,2000,1750,0.12,0.2857142857142857,1.0,0.1666666666666666,12,2,2,2,
246,18,11_geometric_sigma_700,,geometric,2026-07-20,10.0,2000,1750,0.12,0.1538461538461538,1.0,0.0833333333333333,12,1,1,1,
251,14,01_geometric_sigma_none,,geometric,2026-07-20,10.0,2000,1750,0.12,0.755424788525193,0.8666666666666667,0.6694915254237288,118,90,79,78,
251,14,02_geometric_sigma_030,,geometric,2026-07-20,10.0,2000,1750,0.12,0.6158595408064828,0.8769230769230769,0.4745762711864407,118,65,56,57,
